query_id,query,rank,precision,recall,model
1,artificial intelligence,1,1.0,0.2,bm25
1,artificial intelligence,2,1.0,0.4,bm25
1,artificial intelligence,3,0.6666666666666666,0.4,bm25
1,artificial intelligence,4,0.5,0.4,bm25
1,artificial intelligence,5,0.4,0.4,bm25
1,artificial intelligence,6,0.3333333333333333,0.4,bm25
1,artificial intelligence,7,0.2857142857142857,0.4,bm25
1,artificial intelligence,8,0.25,0.4,bm25
1,artificial intelligence,9,0.2222222222222222,0.4,bm25
1,artificial intelligence,10,0.2,0.4,bm25
2,computer science,1,0.0,0.0,bm25
2,computer science,2,0.0,0.0,bm25"aq    
2,computer science,3,0.3333333333333333,0.14285714285714285,bm25
2,computer science,4,0.5,0.2857142857142857,bm25
2,computer science,5,0.6,0.42857142857142855,bm25
2,computer science,6,0.6666666666666666,0.5714285714285714,bm25
2,computer science,7,0.5714285714285714,0.5714285714285714,bm25
2,computer science,8,0.5,0.5714285714285714,bm25
2,computer science,9,0.4444444444444444,0.5714285714285714,bm25
2,computer science,10,0.4,0.5714285714285714,bm25
3,problem solving,1,1.0,0.2,bm25
3,problem solving,2,1.0,0.4,bm25
3,problem solving,3,1.0,0.6,bm25
3,problem solving,4,1.0,0.8,bm25
3,problem solving,5,0.8,0.8,bm25
3,problem solving,6,0.6666666666666666,0.8,bm25
3,problem solving,7,0.7142857142857143,1.0,bm25
3,problem solving,8,0.625,1.0,bm25
3,problem solving,9,0.5555555555555556,1.0,bm25
3,problem solving,10,0.5,1.0,bm25
4,system performance,1,1.0,0.16666666666666666,bm25
4,system performance,2,1.0,0.3333333333333333,bm25
4,system performance,3,0.6666666666666666,0.3333333333333333,bm25
4,system performance,4,0.5,0.3333333333333333,bm25
4,system performance,5,0.4,0.3333333333333333,bm25
4,system performance,6,0.3333333333333333,0.3333333333333333,bm25
4,system performance,7,0.2857142857142857,0.3333333333333333,bm25
4,system performance,8,0.25,0.3333333333333333,bm25
4,system performance,9,0.2222222222222222,0.3333333333333333,bm25
4,system performance,10,0.2,0.3333333333333333,bm25
5,machine learning,1,1.0,0.2,bm25
5,machine learning,2,1.0,0.4,bm25
5,machine learning,3,1.0,0.6,bm25
5,machine learning,4,1.0,0.8,bm25
5,machine learning,5,1.0,1.0,bm25
5,machine learning,6,0.8333333333333334,1.0,bm25
5,machine learning,7,0.7142857142857143,1.0,bm25
5,machine learning,8,0.625,1.0,bm25
5,machine learning,9,0.5555555555555556,1.0,bm25
5,machine learning,10,0.5,1.0,bm25
1,artificial intelligence,1,1.0,0.2,tfidf
1,artificial intelligence,2,1.0,0.4,tfidf
1,artificial intelligence,3,0.6666666666666666,0.4,tfidf
1,artificial intelligence,4,0.5,0.4,tfidf
1,artificial intelligence,5,0.4,0.4,tfidf
1,artificial intelligence,6,0.3333333333333333,0.4,tfidf
1,artificial intelligence,7,0.42857142857142855,0.6,tfidf
1,artificial intelligence,8,0.375,0.6,tfidf
1,artificial intelligence,9,0.3333333333333333,0.6,tfidf
1,artificial intelligence,10,0.3,0.6,tfidf
2,computer science,1,1.0,0.14285714285714285,tfidf
2,computer science,2,1.0,0.2857142857142857,tfidf
2,computer science,3,1.0,0.42857142857142855,tfidf
2,computer science,4,1.0,0.5714285714285714,tfidf
2,computer science,5,1.0,0.7142857142857143,tfidf
2,computer science,6,0.8333333333333334,0.7142857142857143,tfidf
2,computer science,7,0.7142857142857143,0.7142857142857143,tfidf
2,computer science,8,0.625,0.7142857142857143,tfidf
2,computer science,9,0.5555555555555556,0.7142857142857143,tfidf
2,computer science,10,0.5,0.7142857142857143,tfidf
3,problem solving,1,1.0,0.2,tfidf
3,problem solving,2,1.0,0.4,tfidf
3,problem solving,3,1.0,0.6,tfidf
3,problem solving,4,1.0,0.8,tfidf
3,problem solving,5,1.0,1.0,tfidf
3,problem solving,6,0.8333333333333334,1.0,tfidf
3,problem solving,7,0.7142857142857143,1.0,tfidf
3,problem solving,8,0.625,1.0,tfidf
3,problem solving,9,0.5555555555555556,1.0,tfidf
3,problem solving,10,0.5,1.0,tfidf
4,system performance,1,0.0,0.0,tfidf
4,system performance,2,0.5,0.16666666666666666,tfidf
4,system performance,3,0.6666666666666666,0.3333333333333333,tfidf
4,system performance,4,0.5,0.3333333333333333,tfidf
4,system performance,5,0.6,0.5,tfidf
4,system performance,6,0.5,0.5,tfidf
4,system performance,7,0.42857142857142855,0.5,tfidf
4,system performance,8,0.5,0.6666666666666666,tfidf
4,system performance,9,0.5555555555555556,0.8333333333333334,tfidf
4,system performance,10,0.5,0.8333333333333334,tfidf
5,machine learning,1,1.0,0.2,tfidf
5,machine learning,2,1.0,0.4,tfidf
5,machine learning,3,1.0,0.6,tfidf
5,machine learning,4,0.75,0.6,tfidf
5,machine learning,5,0.8,0.8,tfidf
5,machine learning,6,0.8333333333333334,1.0,tfidf
5,machine learning,7,0.7142857142857143,1.0,tfidf
5,machine learning,8,0.625,1.0,tfidf
5,machine learning,9,0.5555555555555556,1.0,tfidf
5,machine learning,10,0.5,1.0,tfidf
